type,上海,北京,杭州,宁波,保定,南京,苏州,深圳,厦门,广州,date
NO2,16.666666666666668,22.29166666666667,18.291666666666668,11.833333333333336,27.41666666666667,25.125,15.708333333333336,38.125,14.083333333333336,58.83333333333334,2019-10-01
PM2.5,13.125,51.58333333333334,18.416666666666668,8.041666666666666,40.333333333333336,36.79166666666666,18.791666666666668,60.70833333333334,16.833333333333332,59.08333333333334,2019-10-01
AQI,37.958333333333336,23.625,47.29166666666666,34.791666666666664,38.625,49.08333333333334,42.95833333333334,64.83333333333333,36.16666666666666,53.5,2019-10-14
NO2,28.08333333333333,24.66666666666667,34.041666666666664,27.91666666666667,36.41666666666666,27.08333333333333,25.29166666666667,23.875,11.166666666666664,25.45833333333333,2019-10-14
PM2.5,19.416666666666668,8.583333333333334,24.95833333333333,15.791666666666664,24.04166666666667,20.08333333333333,22.29166666666667,46.125,16.125,37.25,2019-10-14
AQI,42.95833333333334,35.041666666666664,41.708333333333336,40.16666666666666,47.91666666666666,42.208333333333336,40.16666666666666,35.875,42.833333333333336,51.45833333333334,2019-03-22
NO2,20.875,17.708333333333332,27.91666666666667,20.291666666666668,27.41666666666667,25.91666666666667,26.33333333333333,27.25,26.16666666666667,46.58333333333334,2019-03-22
PM2.5,16.125,7.958333333333332,20.666666666666668,9.666666666666666,19.95833333333333,19.25,13.5,21.25,21.83333333333333,27.91666666666667,2019-03-22
AQI,81.79166666666667,132.91666666666666,40.375,40.29166666666666,113.95833333333331,78.54166666666667,89.20833333333331,64.70833333333333,35.666666666666664,43.04166666666666,2019-10-28
NO2,74.41666666666667,20.625,50.58333333333334,55.75,30.375,66.54166666666667,68.0,30.375,20.0,42.625,2019-10-28
PM2.5,60.33333333333334,27.625,25.25,23.91666666666667,35.083333333333336,52.33333333333334,65.875,44.70833333333334,22.08333333333333,24.83333333333333,2019-10-28
AQI,89.95833333333331,26.875,89.0,61.875,33.166666666666664,142.0,96.91666666666669,48.25,35.75,40.5,2019-12-02
NO2,56.70833333333334,21.91666666666667,34.541666666666664,35.541666666666664,23.91666666666667,54.95833333333334,48.08333333333334,22.125,14.708333333333336,24.54166666666667,2019-12-02
PM2.5,67.25,9.083333333333334,64.33333333333333,44.0,16.25,107.25,72.75,25.08333333333333,18.875,21.041666666666668,2019-12-02
AQI,74.0,31.5,64.0,52.125,176.29166666666663,123.375,96.375,64.0,49.0,37.04166666666666,2019-01-08
NO2,39.91666666666666,24.375,47.125,37.625,75.625,55.08333333333334,48.08333333333334,43.91666666666666,37.04166666666666,32.708333333333336,2019-01-08
PM2.5,53.79166666666666,9.125,45.95833333333334,35.125,137.08333333333334,91.83333333333331,71.25,42.625,28.625,23.79166666666667,2019-01-08
AQI,50.125,92.33333333333331,75.58333333333333,42.25,99.83333333333331,72.0,62.875,47.83333333333334,51.20833333333334,62.04166666666666,2019-12-16
NO2,57.33333333333334,66.45833333333333,64.33333333333333,49.0,59.58333333333334,57.33333333333334,54.04166666666666,38.708333333333336,39.41666666666666,75.41666666666667,2019-12-16
PM2.5,33.916666666666664,68.79166666666667,48.79166666666666,23.83333333333333,74.45833333333333,48.95833333333334,42.91666666666666,26.04166666666667,33.666666666666664,30.875,2019-12-16
AQI,132.04166666666666,34.75,150.66666666666666,142.125,97.75,141.625,146.45833333333334,58.75,73.5,93.41666666666669,2019-01-20
NO2,50.75,19.25,40.25,42.375,54.83333333333334,53.29166666666666,53.70833333333334,32.541666666666664,36.958333333333336,65.95833333333333,2019-01-20
PM2.5,96.25,9.083333333333334,114.16666666666669,104.5,69.16666666666667,104.95833333333331,106.45833333333331,38.66666666666666,50.125,68.29166666666667,2019-01-20
AQI,67.58333333333333,72.625,46.83333333333334,50.91666666666666,79.20833333333333,47.5,50.375,23.16666666666667,35.791666666666664,35.375,2019-07-26
NO2,44.91666666666666,22.875,26.125,28.66666666666667,24.375,37.91666666666666,33.708333333333336,19.25,23.66666666666667,25.83333333333333,2019-07-26
PM2.5,45.875,36.125,24.375,30.625,36.75,22.95833333333333,26.0,11.291666666666664,20.75,16.541666666666668,2019-07-26
AQI,31.16666666666667,48.54166666666666,44.08333333333334,30.91666666666667,53.58333333333334,33.458333333333336,35.708333333333336,36.79166666666666,35.708333333333336,46.20833333333334,2019-09-15
NO2,20.291666666666668,35.666666666666664,27.625,25.25,28.25,26.16666666666667,23.45833333333333,23.58333333333333,10.541666666666666,36.0,2019-09-15
PM2.5,13.208333333333336,25.54166666666667,25.125,12.666666666666664,25.66666666666667,10.041666666666666,16.541666666666668,20.416666666666668,17.75,23.58333333333333,2019-09-15
AQI,27.86666666666667,55.66666666666666,26.66666666666667,27.466666666666665,58.53333333333333,32.0,25.266666666666666,23.266666666666666,24.66666666666667,20.933333333333334,2019-09-01
NO2,30.066666666666666,25.466666666666665,24.53333333333333,25.466666666666665,30.0,27.6,33.6,17.0,9.866666666666667,22.93333333333333,2019-09-01
